date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
26-Jan-20,"Arizona's Health Emergency Operations Center activated to provide support to public health partners and infrastructure to respond to the outbreak. Given similarities between coronavirus and influenza, Arizona's coronavirus response is guided by the stateÕs existing influenza pandemic response plan, which was recently updated in May 2019. The Arizona Department of Health Services is hosting a series of COVID-19 public health webinars tailored to different partners and stakeholders, including law enforcement, health plans, Schools (K-12)/Childcare, EMS/911, businesses, long-term care facilities, and health care providers.",,,,,,,,,,,Y
11-Mar-20,GovernorDuceyissueda Declaration of Emergency and an Executive Orderto provide health officials and administrators with tools and guidance necessary to combat the continued spread of COVID-19 and to reduce financial burdens on Arizonans by lowering healthcare costs associated with the virus.,,,,,,,,,,,Y
12-Mar-20," ArizonasignedS.B. 1051, legislation introduced by Senator Kate Brophy McGee to appropriate $55 million to the Public Health Emergency Fund to support Arizonas efforts to combat the continued spread of COVID-19.",,,,,,,,,Y,,
15-Mar-20," The Governor and Boys & Girls Clubs Arizona Alliance announced emergency operational funding to support youth impacted by COVID-19 school closures. The partnership will enable state funding to compensate Boys & Girls Clubs to provide expanded services to Arizona families, while encouraging and leveraging private donations from individuals, corporations and foundations.

The Governor also announced the closure of all schools from Monday, March 16, 2020 through Friday, March 27, 2020.

",Y,,,,Y,,,,,,
15-Mar-20, The Governor ordered a statewide closure of schools through at least March 27.,Y,,,,Y,,,,,,
16-Mar-20," The Governor announced the cancellation of large events and mass gatherings such as conferences, festivals, parades, concerts, sporting events, weddings and other types of assemblies.",Y,,,,,,,,,,
15-Mar-20, The Governor ordered a statewide closure of schools through at least March 27.,Y,,,,,,,,,,
16-Mar-20," The Governor announced large events and mass gatherings such as conferences, festivals, parades, concerts, sporting events, weddings and other types of assemblies should be cancelled.",Y,,,,,,,,,,
19-Mar-20," The Governor announced the following executive actions:

Activation of the National Guard to assist grocery stores and food banks with re-stocking shelves in the face of heightened demand.


Signing of an executive order that halts all elective surgeries to free up medical resources and maintain the capacity for hospitals and providers to continue offering vital services.


Signing of an executive order that requires restaurants in counties with confirmed COVID-19 cases to provide dine-out options only, as well as the closure of all bars in those counties. The order allows restaurants to deliver alcoholic beverages with the purchase of food.


Signing of an executive order to delay expiration dates on driver licenses ensuring residents over the age of 65 do not need to visit Motor Vehicle Division offices to renew their driver licenses during the public health emergency.

",Y,,,,,Y,,,,,
19-Mar-20, The Governour announced the U.S. Small Business Administration (SBA) approved an Economic Injury Disaster Loan declaration for Arizona that will help small businesses.,,,,,,,,,,,Y
20-Mar-20,"The Governor announced a two-week extension of school closures through April 10, 2020.",Y,,,,Y,,,,,,
20-Mar-20," The Governor issued an executive order aimed at providing certainty and economic relief to taxpayers. The order includes the following provisions:

Waives the one-week waiting period after an employee loses a job before they apply for unemployment benefits;


Waives work search requirements for those receiving unemployment benefits;


Adds people who work at a business that has been temporarily closed or has reduced hours because of COVID-19, who have to quarantine because of COVID-19, or who have to care for a family member with COVID-19 to the list of people eligible for unemployment insurance; and


Waives any increase in employer payments to the unemployment insurance fund for businesses whose employees receive benefits under this provision.

",,,,,,,,,,,Y
20-Mar-20," The Governor issued an administrative action extending the deadline for filing and paying state income taxes from April 15 to July 15, 2020.",,,,,,,,,,,Y
23-Mar-20, The Governor issued an executive order implementing an Enhanced Surveillance Advisory that will accelerate tracking of COVID-19 cases and strengthen the ability of the Arizona Department of Health Services to respond to the outbreak.,,,,,,,,,,,Y
23-Mar-20," The Governor issued an executive order clarifying businesses and operations deemed essential by the state and providing certainty to business owners, employees, families and allowing child care to remain open.",,,,,,,,,,,Y
23-Mar-20,"- The Centers for Medicare & Medicaid Services (CMS) approved Arizonas request for a Section 1135 Medicaid waiver. The approved waiver enables Arizona to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements and extend current prior authorization approvals.",,,,,,Y,,,,,
24-Mar-20, The Governor issued an executive order delaying the enforcement of eviction action orders for renters remaining in effect for 120 days.,,,,,,,,,,,Y
24-Mar-20," The Governor announced a partnership to launch Arizona Enrichment Centers to offer childcare for the children of first responders, critical healthcare workers, and essential public sector workers, including child safety workers.",,,,,,,,,,,Y
24-Mar-20," The Governor notified the Center For Medicare and Medicaid Services (CMS) of his decision to exempt the State of Arizona from a federal regulation requiring Certified Registered Nurse Anesthetists (CRNAs) to be supervised by a physician. The reform will expand access to care, especially in rural areas, and free up physicians for other needed medical services.",,,,,,Y,,,,,Y
24-Mar-20," The Governor announced a new partnership between the state of Arizona, the BSTRONG Initiative partnering with the Global Empowerment Mission, and the Verstandig Foundation to secure up to 1 million N-95 masks and other equipment for Arizona health care professionals.",,,,,,,,,,,Y
24-Mar-20," The Governor launched the Arizona Together initiative to connect individuals and businesses to resources, raising money for community organizations and providing information on volunteer opportunities.",,,,,,,,,,,Y
